name,district,court
Bridget Meehan Brennan,Northern District of Ohio,District Court
Victoria Marie Calvert,Northern District of Georgia,District Court
John H. Chun,Western District of Washington,District Court
Samantha D. Elliott,District of New Hampshire,District Court
Charles Esque Fleming,Northern District of Ohio,District Court
Sarah Elisabeth Geraghty,Northern District of Georgia,District Court
Dale E. Ho,Southern District of New York,District Court
Linda Lopez,Southern District of California,District Court
Jinsook Ohta,Southern District of California,District Court
David Augustin Ruiz,Northern District of Ohio,District Court
Loren L. AliKhan,District of Columbia,Court of Appeals
Adrienne Jennings Noti,District of Columbia,Superior Court
Ebony M. Scott,District of Columbia,Superior Court
D.W. Tunnage,District of Columbia,Superior Court
Jessica G. L. Clarke,Southern District of New York,District Court
Judge Sherilyn Peace Garnett,District of California,District Court
Hector Gonzalez,Eastern District of New York,District Court
Judge Kenly Kiya Kato,District of California,District Court
Nina Morrison,Eastern District of New York,District Court
Judge William S. Pocan,Eastern District of Wisconsin,District Court
Jennifer L. Rochon,Southern District of New York,District Court
Judge Fred W. Slaughter,District of California,District Court
Judge Sunshine Suzanne Sykes,District of California,District Court
Judge Errol Rajesh Arthur,District of Columbia,Superior Court
Judge Leslie A. Meek,District of Columbia,Superior Court
Carl Ezekiel Ross,District of Columbia,Superior Court
"Jerry Edwards, Jr.",Western District of Louisiana,District Court
Brandon Scott Long,Eastern District of Louisiana,District Court
Philip S. Hadji,,Court of Federal Claims
Kenechukwu Onyemaechi Okocha,District of Columbia Superior Court,Superior Court
Rebecca C. Lutzko,Northern District of Ohio,Attorney
Judge Leonard Stark,,Court of Appeals
Georgette Castner,District of New Jersey,District Court
Judge Jacqueline Corley,Northern District of California,District Court
Judge Ruth Bermudez Montenegro,Southern District of California,District Court
Evelyn Padin,District of New Jersey,District Court
Judge Julie Rubin,District of Maryland,District Court
Judge Cristina D. Silva,District of Nevada,District Court
Judge Trina Thompson,Northern District of California,District Court
Anne Rachel Traum,District of Nevada,District Court
Kendra Briggs,District of Columbia,Superior Court
Judge Sarah A. L. Merriam,,Court of Appeals
Lara E. Montecalvo,,Court of Appeals
Judge Elizabeth Hanes,Eastern District of Virginia,District Court
Anne M. Nardacci,Northern District of New York,District Court
Ana C. Reyes,District of Columbia,District Court
Thomas E. Brown,Northern District of Georgia,Marshal
Brian A. Kyes,District of Massachusetts,Marshal
Stephen D. Lynn,Middle District of Georgia,Marshal
"Roy W. Minter, Jr",Southern District of Georgia,Marshal
Colleen Holland,Western District of New York,District Court
Judge John A. Kazen,Southern District of Texas,District Court
Micah W. J. Smith,District of Hawaii,District Court
Chief Judge Ramona V. Manglona,District of Northern Mariana Islands,District Court
David O. Barnett Jr.,District of New Mexico,Marshal
Roopali H. Desai,,Court of Appeals
Judge Dana M. Douglas,,Court of Appeals
Bradley N. Garcia,District of Columbia Circuit,Court of Appeals
Maria del R. Antongiorgi-Jordan,District of Puerto Rico,District Court
Jerry W. Blackwell,District of Minnesota,District Court
Judge Gina R. Mendez-Miro,District of Puerto Rico,District Court
Judge Camille L. Velez-Rive,District of Puerto Rico,District Court
Toby J. Heytens,,Court of Appeals
Jennifer Sung,,Court of Appeals
Jane M. Beckering,Western District of Michigan,District Court
Patricia Tolliver Giles,Eastern District of Virginia,District Court
Shalina D. Kumar,Eastern District of Michigan,District Court
Michael S. Nachmanoff,Eastern District of Virginia,District Court
Armando O. Bonilla,,Court of Federal Claims
Carolyn N. Lerner,,Court of Federal Claims
Sean C. Staples,District of Columbia,Superior Court
Judge Kato Crews,District of Colorado,District Court
Jabari Wamble,District of Kansas,District Court
Molly Silfen,,Court of Federal Claims
Judge John Z. Lee,,Court of Appeals
"Judge Salvador Mendoza, Jr.",,Court of Appeals
Judge Stephen Henley Locher,Southern District of Iowa,District Court
Nancy L. Maldonado,Northern District of Illinois,District Court
Gregory B. Williams,District of Delaware,District Court
Judge Leonard Stark,,Court of Appeals
Georgette Castner,District of New Jersey,District Court
Judge Jacqueline Corley,Northern District of California,District Court
Judge Ruth Bermudez Montenegro,Southern District of California,District Court
Evelyn Padin,District of New Jersey,District Court
Judge Julie Rubin,District of Maryland,District Court
Judge Cristina D. Silva,District of Nevada,District Court
Judge Trina Thompson,Northern District of California,District Court
Anne Rachel Traum,District of Nevada,District Court
Kendra Briggs,District of Columbia,Superior Court
Judge Mustafa T. Kasubhai,District of Oregon,District Court
Judge Shanlyn A. S. Park,District of Hawai’i,District Court
Jamel K. Semper,District of New Jersey,District Court
Kirk E. Sherriff,Eastern District of California,District Court
Nancy Gbana Abudu,,Court of Appeals
J. Michelle Childs,District of Columbia,Court of Appeals
DeAndrea Benjamin,,Court of Appeals
Jabari Wamble,,
Loren L. AliKhan,District of Columbia ,District Court
Susan K. DeClercq,Eastern District of Michigan,District Court
Julia K. Munley,Middle District of Pennsylvania,District Court
Vernon D. Oliver,District of Connecticut,District Court
Andre B. Mathis,,Court of Appeals
Judge Alison J. Nathan,,Court of Appeals
Judge Lucy H. Koh,,Court of Appeals
Justice Gabriel P. Sanchez,,Court of Appeals
Judge Holly A. Thomas,,Court of Appeals
Judge Maame Ewusi-Mensah Frimpong,District of California,District Court
Judge Katherine Marie Menendez,District of Minnesota,District Court
Judge Jennifer L. Thurston,Eastern District of California,District Court
David Herrera Urias,District of New Mexico,District Court
Judge Hernán D. Vera,District of California,District Court
Sara E. Hill,Northern District of Oklahoma,District Court
John D. Russell,Northern District of Oklahoma,District Court
Judge Johnny C. Gogo,,Attorney
