name,district,court
Bridget Meehan Brennan,Northern District of Ohio,District Court
Victoria Marie Calvert,Northern District of Georgia,District Court
John H. Chun,Western District of Washington,District Court
Samantha D. Elliott,District of New Hampshire,District Court
Charles Esque Fleming,Northern District of Ohio,District Court
Sarah Elisabeth Geraghty,Northern District of Georgia,District Court
Dale E. Ho,Southern District of New York,District Court
Linda Lopez,Southern District of California,District Court
Jinsook Ohta,Southern District of California,District Court
David Augustin Ruiz,Northern District of Ohio,District Court
Loren L. AliKhan,District of Columbia,Court of Appeals
Adrienne Jennings Noti,District of Columbia,Superior Court
Ebony M. Scott,District of Columbia,Superior Court
D.W. Tunnage,District of Columbia,Superior Court
