name,district,court
Jessica G. L. Clarke,Southern District of New York,District Court
Judge Sherilyn Peace Garnett,District of California,District Court
Hector Gonzalez,Eastern District of New York,District Court
Judge Kenly Kiya Kato,District of California,District Court
Nina Morrison,Eastern District of New York,District Court
Judge William S. Pocan,Eastern District of Wisconsin,District Court
Jennifer L. Rochon,Southern District of New York,District Court
Judge Fred W. Slaughter,District of California,District Court
Judge Sunshine Suzanne Sykes,District of California,District Court
Judge Errol Rajesh Arthur,District of Columbia,Superior Court
Judge Leslie A. Meek,District of Columbia,Superior Court
Carl Ezekiel Ross,District of Columbia,Superior Court
