name,district,court
Judge Leonard Stark,,Court of Appeals
Georgette Castner,District of New Jersey,District Court
Judge Jacqueline Corley,Northern District of California,District Court
Judge Ruth Bermudez Montenegro,Southern District of California,District Court
Evelyn Padin,District of New Jersey,District Court
Judge Julie Rubin,District of Maryland,District Court
Judge Cristina D. Silva,District of Nevada,District Court
Judge Trina Thompson,Northern District of California,District Court
Anne Rachel Traum,District of Nevada,District Court
Kendra Briggs,District of Columbia,Superior Court
