name,district,court
Margaret Garnett,Southern District of New York,District Court
Judge Jennifer L. Hall,District of Delaware,District Court
Brandy R. McMillion,Eastern District of Michigan,District Court
Judge Karoline Mehalchick,Middle District of Pennsylvania,District Court
Lisa Wang,,Court of International Trade
Joseph A. Laroski,,Court of International Trade
April Perry,Northern District of Illinois,Attorney
Special Master Katherine E. Oler,District of Columbia Superior Court,Superior Court
Judge Judith E. Pipe,District of Columbia Superior Court,Superior Court
Charles J. Willoughby Jr.,District of Columbia Superior Court,Superior Court
