properties.name,properties.headline,properties.article
Ohio Northern,4.0,"Bridget Meehan Brennan, Charles Esque Fleming, David Augustin Ruiz, Rebecca C. Lutzko"
Georgia Northern,3.0,"Victoria Marie Calvert, Sarah Elisabeth Geraghty, Thomas E. Brown"
Washington Western,4.0,"John H. Chun, Kymberly Evanson, Jamal Whitehead, Tiffany M. Cartwright"
New Hampshire,1.0,Samantha D. Elliott
Ohio Northern,4.0,"Bridget Meehan Brennan, Charles Esque Fleming, David Augustin Ruiz, Rebecca C. Lutzko"
Georgia Northern,3.0,"Victoria Marie Calvert, Sarah Elisabeth Geraghty, Thomas E. Brown"
New York Southern,6.0,"Dale E. Ho, Jessica G. L. Clarke, Jennifer L. Rochon, Arun Subramanian, Margaret Garnett, Jennifer H. Rearden"
California Southern,9.0,"Linda Lopez, Jinsook Ohta, Judge Ruth Bermudez Montenegro, Judge Marian Gaston, Judge Andrew G. Schopler, Judge James Edward Simmons Jr, Tara McGrath, Robert Steven Huie"
California Southern,9.0,"Linda Lopez, Jinsook Ohta, Judge Ruth Bermudez Montenegro, Judge Marian Gaston, Judge Andrew G. Schopler, Judge James Edward Simmons Jr, Tara McGrath, Robert Steven Huie"
Ohio Northern,4.0,"Bridget Meehan Brennan, Charles Esque Fleming, David Augustin Ruiz, Rebecca C. Lutzko"
Columbia,18.0,"Loren L. AliKhan, Adrienne Jennings Noti, Ebony M. Scott, D.W. Tunnage, Judge Errol Rajesh Arthur, Judge Leslie A. Meek, Carl Ezekiel Ross, Kendra Briggs, Ana C. Reyes, Sean C. Staples, J. Michelle Childs, Jia M. Cobb, Kenia Seoane Lopez, Judge Tanya Jones Bosier, Danny Lam Nguyen, John P. Howard III"
Columbia,18.0,"Loren L. AliKhan, Adrienne Jennings Noti, Ebony M. Scott, D.W. Tunnage, Judge Errol Rajesh Arthur, Judge Leslie A. Meek, Carl Ezekiel Ross, Kendra Briggs, Ana C. Reyes, Sean C. Staples, J. Michelle Childs, Jia M. Cobb, Kenia Seoane Lopez, Judge Tanya Jones Bosier, Danny Lam Nguyen, John P. Howard III"
Columbia,18.0,"Loren L. AliKhan, Adrienne Jennings Noti, Ebony M. Scott, D.W. Tunnage, Judge Errol Rajesh Arthur, Judge Leslie A. Meek, Carl Ezekiel Ross, Kendra Briggs, Ana C. Reyes, Sean C. Staples, J. Michelle Childs, Jia M. Cobb, Kenia Seoane Lopez, Judge Tanya Jones Bosier, Danny Lam Nguyen, John P. Howard III"
Columbia,18.0,"Loren L. AliKhan, Adrienne Jennings Noti, Ebony M. Scott, D.W. Tunnage, Judge Errol Rajesh Arthur, Judge Leslie A. Meek, Carl Ezekiel Ross, Kendra Briggs, Ana C. Reyes, Sean C. Staples, J. Michelle Childs, Jia M. Cobb, Kenia Seoane Lopez, Judge Tanya Jones Bosier, Danny Lam Nguyen, John P. Howard III"
New York Southern,6.0,"Dale E. Ho, Jessica G. L. Clarke, Jennifer L. Rochon, Arun Subramanian, Margaret Garnett, Jennifer H. Rearden"
California,8.0,"Judge Sherilyn Peace Garnett, Judge Kenly Kiya Kato, Judge Fred W. Slaughter, Judge Sunshine Suzanne Sykes, Judge Maame Ewusi-Mensah Frimpong, Judge Hernán D. Vera, Judge Wesley Hsu, Mónica Ramírez Almadani"
New York Eastern,6.0,"Hector Gonzalez, Nina Morrison, Orelia Merchant, Ramon Reyes, Nusrat Jahan Choudhury, Natasha C. Merle"
California,8.0,"Judge Sherilyn Peace Garnett, Judge Kenly Kiya Kato, Judge Fred W. Slaughter, Judge Sunshine Suzanne Sykes, Judge Maame Ewusi-Mensah Frimpong, Judge Hernán D. Vera, Judge Wesley Hsu, Mónica Ramírez Almadani"
New York Eastern,6.0,"Hector Gonzalez, Nina Morrison, Orelia Merchant, Ramon Reyes, Nusrat Jahan Choudhury, Natasha C. Merle"
Wisconsin Eastern,1.0,Judge William S. Pocan
New York Southern,6.0,"Dale E. Ho, Jessica G. L. Clarke, Jennifer L. Rochon, Arun Subramanian, Margaret Garnett, Jennifer H. Rearden"
California,8.0,"Judge Sherilyn Peace Garnett, Judge Kenly Kiya Kato, Judge Fred W. Slaughter, Judge Sunshine Suzanne Sykes, Judge Maame Ewusi-Mensah Frimpong, Judge Hernán D. Vera, Judge Wesley Hsu, Mónica Ramírez Almadani"
